UserID,chargeback_count,fraud_reports,no_fraud_charges,transaction_frequency,isFlagged
4537027967639631,2,3,0,11,0
4296267625767470,0,4,0,10,0
4178224023847746,2,2,0,8,0
4779013371563747,0,3,1,8,0
4479448076398077,2,4,1,8,0
4587942659105635,1,1,1,12,0
4978866660478516,0,0,1,10,0
4801014238577179,1,4,1,9,0
4488893430580853,0,2,0,10,0
4901579220413913,2,2,1,7,0
4316485424287450,0,2,0,3,0
4650682297358871,2,4,0,7,0
4027080679593395,1,3,0,12,0
4781213214714848,1,1,1,9,0
4746449533069761,1,4,1,4,0
4644738396150616,2,3,0,12,0
4457574559953421,0,2,1,1,0
4120037473988300,1,3,1,14,0
4316656901873190,1,1,1,6,0
4223078546024950,0,1,1,12,0
4799013284929379,1,1,1,4,0
4534188799785431,1,3,0,14,0
4358487712326387,0,4,1,5,0
4024366860337913,1,0,1,12,0
4494721459387110,0,0,0,13,0
4058343659073875,0,0,0,9,0
4563748698771628,0,3,1,8,0
4391352014947059,2,2,0,1,0
4036129746264552,2,2,0,11,0
4370218969874769,0,1,0,10,0
4624368626679079,0,3,0,9,0
4834746595315856,1,0,1,7,0
4695579523490592,2,4,0,12,0
4115767307958965,1,2,0,1,0
4562342678813070,2,4,0,14,0
4907656508851248,2,0,0,10,0
4699703976325099,2,2,0,10,0
4614817566266380,1,3,0,3,0
4836407825782633,2,0,1,13,0
4471247976689827,1,4,0,7,0
4130932200508272,0,2,0,4,0
4720150366217077,0,2,0,6,0
4488558934506932,1,1,0,14,0
4272001687747262,0,4,1,12,0
4151303907915307,1,2,1,10,0
4071860740506525,2,3,0,7,0
4032940392348323,1,0,0,9,0
4328739005347273,2,0,1,13,0
4770668380774863,0,2,0,6,0
4678774638023401,2,0,1,5,0
4586858481034895,0,2,1,12,0
4239828337091580,2,2,1,8,0
4498906952268711,0,3,0,14,0
4105898568408689,0,1,1,12,0
4754077106509464,1,1,0,1,0
4565284124980730,0,0,1,1,0
4349220949060731,2,0,1,2,0
4643483825507240,1,4,1,1,0
4297910231785027,0,2,1,2,0
4865674225111663,0,3,1,6,0
4846298091754358,2,3,0,11,0
4141290989500995,2,0,0,6,0
4830126149028533,0,3,1,6,0
4806126828359720,1,2,0,1,0
4621558916837501,0,3,0,6,0
4845249293240192,0,2,1,12,0
4491398455927752,2,3,0,10,0
4134266647781861,2,2,1,7,0
4073119464810177,0,0,1,7,0
4121412770053497,1,0,0,12,0
4345787462573237,0,0,1,7,0
4005337345766466,2,1,0,7,0
4532735412610578,1,0,1,12,0
4095095798652820,0,1,0,14,0
4120831222808631,0,4,1,11,0
4633552282887022,2,0,0,3,0
4583672967894026,2,2,1,8,0
4117086636734684,1,0,1,4,0
4575468926171212,2,0,1,4,0
4612520582012331,1,3,1,3,0
4072149432300531,1,0,0,9,0
4100718923020406,0,1,1,14,0
4719227779530230,1,1,1,3,0
4553534728560385,0,0,1,1,0
4635472070134149,0,4,1,4,0
4697580618641535,2,2,0,1,0
4299247885897008,2,2,1,7,0
4412684446433497,1,4,0,6,0
4461445639892604,2,2,1,5,0
4969418514273023,1,0,1,1,0
4026930207207952,0,3,0,3,0
4116535357121969,2,0,1,1,0
4364587298642255,1,4,1,5,0
4399520952085890,1,2,1,9,0
4269354468937098,0,4,0,14,0
4849914366331790,0,2,1,1,0
4190080728032743,2,4,0,7,0
4515774767318181,0,2,1,2,0
4725250669260157,0,1,0,6,0
4492055644253081,1,2,1,14,0
4672109841861303,1,1,0,11,0
4752131541619057,1,1,1,1,0
4207949000091083,0,0,0,6,0
4639145971102698,2,4,1,7,0
4120210492121092,1,2,1,9,0
4651139294537915,0,3,1,7,0
4167601669264786,0,3,0,4,0
4963096010332638,0,3,0,7,0
4954457661619239,2,3,1,2,0
4153157936327803,2,2,0,10,0
4905040094086067,2,4,1,10,0
4345853015294448,1,0,1,10,0
4070651974056936,1,2,1,5,0
4146548925655222,0,4,1,12,0
4384240346081722,0,3,1,13,0
4685200443125125,1,2,0,8,0
4822936618475944,0,1,1,10,0
4589868262744601,1,2,0,8,0
4190329230767324,2,2,1,10,0
4800085866532349,2,1,0,10,0
4126049396253757,0,0,1,5,0
4418647069481451,0,1,1,1,0
4099090172053352,2,1,1,14,0
4043230537579025,1,0,1,13,0
4205675680288614,0,0,1,13,0
4864222759188607,2,4,1,13,0
4049334550257222,2,2,1,10,0
4454406124161870,2,4,1,9,0
4797079929228263,0,3,0,1,0
4455558812217387,1,3,0,12,0
4440056243942606,1,1,1,5,0
4386568622253880,2,3,0,14,0
4414239284738891,1,4,0,10,0
4954613893211332,1,4,1,2,0
4190589381744626,2,1,1,3,0
4818191507270420,1,0,1,5,0
4155628700030029,0,3,1,8,0
4639773914591600,2,1,0,12,0
4845492972714729,2,3,1,12,0
4969525382710223,1,2,1,1,0
4815383331405594,0,4,0,11,0
4443494597754730,0,3,0,1,0
4295139924543913,0,1,0,12,0
4806131167925537,0,4,1,14,0
4535854353040559,1,4,0,2,0
4789636057806614,2,0,1,8,0
4338691657033297,0,1,1,10,0
4415393248767337,1,1,0,9,0
4359763386575403,2,3,1,5,0
4066634212460074,1,4,0,13,0
4256804894652229,0,4,0,9,0
4105156503044287,1,4,0,8,0
4632922785928964,2,0,0,4,0
4835630461075324,1,0,0,8,0
4743623744957336,2,4,1,1,0
4623806157218966,2,4,0,9,0
4416360505615235,2,0,1,1,0
4510059323612086,0,3,1,9,0
4207422160082011,1,4,0,3,0
4631840740621501,0,3,1,13,0
4290873215399016,0,2,1,9,0
4568808371822331,2,3,1,4,0
4018277244978728,2,1,0,5,0
4693064230435794,0,2,1,9,0
4820219566030413,2,4,1,5,0
4642854249081171,2,0,0,13,0
4849856044166082,0,1,1,7,0
4349688300104324,1,1,0,3,0
4372492496063950,2,4,0,11,0
4199180905260595,1,3,0,10,0
4440373895407980,1,3,0,13,0
4288318830307451,1,4,1,10,0
4318221808236682,0,1,0,10,0
4579616108916830,1,4,0,5,0
4412018601014109,1,2,1,13,0
4709041479456535,0,3,0,7,0
4846064423910484,0,4,1,4,0
4709392261061961,1,3,0,3,0
4239722930522788,0,3,1,7,0
4824029705069347,2,1,1,3,0
4063643443148757,2,2,0,13,0
4086549041423448,1,3,1,10,0
4140644646301299,0,0,0,1,0
4538134849841713,2,4,1,14,0
4649550475321678,0,3,0,9,0
4530542974843650,0,4,1,10,0
4816556544019190,0,4,0,5,0
4147885906712757,1,4,0,12,0
4021399491403146,0,3,0,3,0
4556961482596882,0,1,0,9,0
4978316554898429,0,0,0,6,0
4187253286681335,1,2,1,7,0
4891094516388276,0,2,1,10,0
4337409969902930,1,3,1,12,0
4186074707077502,0,1,1,4,0
4809363572758222,1,1,1,2,0
4230122295680132,0,0,1,11,0
4637972213289609,1,0,0,1,0
4097934806091415,0,3,0,12,0
4649623003096813,0,4,1,3,0
4327388386435025,0,1,0,5,0
4684891968652559,2,0,1,10,0
4980180856492406,1,1,0,13,0
4535669509252589,0,0,1,1,0
4771692831602472,1,0,0,5,0
4544526410934334,1,0,1,11,0
4067692416098040,2,0,0,1,0
4337294506729990,1,0,0,1,0
4153759359458377,0,3,0,5,0
4477118529280964,2,4,1,3,0
4138585363876241,0,4,0,5,0
4285642042694221,1,1,0,1,0
4642440436097079,0,0,1,1,0
4545023285534505,2,4,0,4,0
4499020754443313,1,0,0,8,0
4267145066045132,1,3,0,8,0
4729197466306814,2,1,1,2,0
4064624537184196,1,2,0,2,0
4246429087364821,0,3,0,14,0
4810207948998433,1,2,0,1,0
4926819460358753,2,4,0,14,0
4764723881830850,1,2,0,7,0
4596417733107245,1,3,1,6,0
4405269744476981,1,1,1,14,0
4082800103373573,2,2,0,2,0
4772504139471543,0,0,1,12,0
4199144522236545,1,1,0,1,0
4343729453310098,0,4,1,10,0
4394309612489261,0,1,0,12,0
4306929481415670,0,1,1,5,0
4889117624456653,1,4,1,11,0
4637768013211029,2,2,0,9,0
4480544748100052,2,2,1,8,0
4273056614072357,0,2,1,3,0
4909624304185037,2,4,1,2,0
4730347094462912,0,1,0,3,0
4872049145025445,0,4,1,12,0
4156469325181858,1,4,1,5,0
4530752794850559,1,0,0,9,0
4576299854181322,1,1,0,14,0
4888741718022039,1,4,0,9,0
4959927165897668,1,0,0,9,0
4533419226373199,1,2,0,13,0
4238635398792852,0,1,1,1,0
4998980070258610,0,2,0,4,0
4482047356277269,2,1,1,7,0
4939337223170691,1,1,0,10,0
4553519657489763,1,2,1,3,0
4195488141567598,2,2,0,7,0
4607253946533274,1,2,0,12,0
4924702233358007,0,1,1,6,0
4186008080380976,2,2,0,9,0
4655024066343229,2,4,1,10,0
4344131813028545,2,0,0,7,0
4690391285895553,1,1,1,12,0
4772103755901808,0,0,0,4,0
4640446872084788,0,3,1,3,0
4094359482071288,0,4,1,4,0
4430096944135433,2,1,0,8,0
4405483435844908,0,3,0,10,0
4004226610764770,0,4,1,4,0
4472190107494510,1,1,0,8,0
4244980635313837,2,4,1,5,0
4258986850042293,0,0,0,6,0
4775854038204900,0,3,1,11,0
4040719176719499,1,0,0,3,0
4199675616846749,2,4,1,8,0
4890548074766166,2,1,1,12,0
4742301921249634,2,3,0,6,0
4451495649373386,1,0,1,8,0
4913273937828300,1,2,1,9,0
4274120720108387,1,2,1,10,0
4217116673568288,2,4,1,5,0
4529038536845328,1,1,1,4,0
4631997060547292,2,3,0,4,0
4433991342486965,0,3,0,1,0
4700691948878740,1,4,1,11,0
4208919577485462,2,3,0,11,0
4198391759401315,2,0,1,2,0
4693524742130894,1,4,0,10,0
4282256567061360,1,4,1,2,0
4341256512063726,0,4,0,1,0
4071011123031414,0,2,0,8,0
4615067987967682,1,2,1,1,0
4452179052541221,0,3,1,2,0
4592449123935251,1,4,1,11,0
4324287807465970,0,1,1,3,0
4333510432807699,2,0,1,6,0
4319146556905726,0,2,0,5,0
4003802828684744,1,3,1,3,0
4006439036631113,0,4,0,3,0
4599243893131123,2,1,1,4,0
4033632085437468,0,4,1,9,0
4170968269167122,1,2,0,6,0
4755132311935803,0,0,0,1,0
4915567039864792,0,1,1,5,0
4723436613376635,2,2,1,6,0
4122918339765487,2,2,1,10,0
4207930474708584,2,4,0,4,0
4879504746720524,1,2,1,13,0
4256095018310048,1,0,0,13,0
4046210901582802,0,2,0,1,0
4493037702581347,1,3,1,2,0
4379653141022047,1,4,0,10,0
4898638832339547,0,4,0,4,0
4478327626340659,0,3,1,13,0
4683961013254882,0,4,0,4,0
4220926615979137,0,1,0,3,0
4010957605675058,2,3,1,10,0
4704517483140103,2,2,0,4,0
4487727733746798,2,1,1,6,0
4960440752757896,1,1,1,11,0
4744742226206910,1,4,1,14,0
4838034529881400,1,0,0,8,0
4854051726065149,2,3,1,4,0
4700765719250857,0,4,1,10,0
4996656214287598,0,3,0,10,0
4366142428712087,0,2,0,14,0
4791877253797191,0,2,0,1,0
4873912811444340,1,4,0,10,0
4917880574076039,1,3,1,7,0
4301337670808421,0,0,0,6,0
4653212271816251,2,2,1,5,0
4577753873607377,2,0,0,9,0
4578027454152908,1,3,0,5,0
4479826083744500,1,0,0,4,0
4267553724789340,0,1,0,6,0
4934271011485331,1,1,0,2,0
4107242958422182,2,0,1,11,0
4102520188716845,2,3,0,3,0
4143077238530644,1,0,0,4,0
4555300219045957,1,4,1,1,0
4453127349169511,0,4,0,11,0
4331540271902071,1,1,1,2,0
4882405536058478,0,0,0,1,0
4342745592529209,0,0,1,6,0
4466526078230946,1,3,0,13,0
4212218839112939,0,0,1,13,0
4735256251926053,1,2,0,8,0
4645745570703390,2,4,0,13,0
4152401459930150,0,2,1,1,0
4732981266534112,1,2,0,2,0
4024978978860154,1,3,0,2,0
4839173023901618,1,2,0,4,0
4637356684908246,0,4,0,7,0
4612604254865703,2,1,1,3,0
4743880059475367,1,1,1,1,0
4235171786672889,2,3,1,2,0
4359891465351840,2,4,1,1,0
4076076115975410,0,2,1,7,0
4434664595554891,2,4,1,6,0
4694925913002417,0,4,0,3,0
4742784019413529,0,3,0,8,0
4126450303069940,1,2,1,8,0
4042796984948260,1,2,1,4,0
4193154702594429,0,4,1,7,0
4901004705517088,1,1,0,1,0
4477574867701427,2,4,0,13,0
4558525404864211,2,3,0,12,0
4593483077519000,1,1,0,5,0
4594441730132198,2,1,0,2,0
4066900670537939,2,3,1,5,0
4067603359108076,0,0,1,5,0
4092596073879213,2,3,1,6,0
4682063318093692,0,1,1,8,0
4303169400355458,2,0,1,3,0
4893205617558579,0,0,1,2,0
4355734507118799,0,0,0,9,0
4550751041809413,1,2,1,4,0
4544819260715980,1,1,0,13,0
4246584162319478,1,4,0,6,0
4535517671597796,1,4,1,4,0
4223095774361219,0,1,0,5,0
4311201454853763,0,1,1,7,0
4858553864588838,0,1,1,5,0
4508541538482235,2,0,0,6,0
4657202709845192,2,1,1,13,0
4354470116157784,0,4,0,10,0
4711875706690788,0,0,1,5,0
4364523060781815,1,1,1,2,0
4887638980649302,1,2,0,3,0
4725435005366384,0,3,0,10,0
4987730986838671,0,4,0,8,0
4623785205962744,2,3,0,11,0
4220032004695119,2,2,1,2,0
4218944969550226,2,4,1,1,0
4576095700111079,1,3,0,4,0
4688413840721837,2,2,1,11,0
4077785996160236,0,2,0,11,0
4613109388009177,1,0,1,2,0
4406246798337086,0,0,0,8,0
4306260711736697,0,0,0,13,0
4163895653670446,2,1,0,7,0
4514751810208875,2,2,1,5,0
4669984275117546,2,1,1,3,0
4971605009175855,0,3,0,11,0
4110985515999507,0,4,0,10,0
4584381465354538,0,0,0,12,0
4688156296066583,1,2,1,5,0
4555167690389075,0,4,1,6,0
4611608727741491,0,1,0,12,0
4294392734812561,2,2,1,9,0
4094616759942388,0,1,0,10,0
4083738262480624,2,0,0,10,0
4269108111688791,0,1,0,14,0
4248009265479993,2,4,0,9,0
4989820142007614,2,1,0,7,0
4776530054551742,0,1,0,14,0
4990545266304458,2,2,1,11,0
4822463731373963,1,0,1,8,0
4585263323462514,2,3,1,13,0
4267200279966408,1,2,0,11,0
4914278575340509,1,3,0,8,0
4195418679238197,0,3,0,6,0
4526628586107448,0,4,1,1,0
4515415742204084,0,1,1,14,0
4563960414574430,1,2,1,2,0
4768808662365188,1,2,0,13,0
4088240441181541,0,1,1,3,0
4417626105431622,2,3,0,14,0
4158837924868455,0,4,1,5,0
4083261338352321,0,3,0,9,0
4323143989871330,1,0,0,7,0
4497991938999242,0,0,1,1,0
4242605965930171,2,4,1,8,0
4995975081145817,1,1,1,2,0
4280125092575875,1,4,0,1,0
4412842010788619,0,0,0,1,0
4183292472241474,0,3,1,11,0
4813714174561162,1,4,0,5,0
4458493126153838,2,3,1,7,0
4197772742778441,2,2,1,13,0
4278298333183579,1,0,0,4,0
4843585785140149,2,3,0,6,0
4741040906674256,0,2,0,14,0
4411505393685519,1,2,1,9,0
4098666736174833,1,0,0,10,0
4074606785860906,2,4,0,6,0
4954498144833914,2,0,0,3,0
